BLItemNo	ElementId	LdrawId	PartName	BLColorId	LDrawColorId	ColorName	ColorCategory	Qty	Weight
50304	4616171	50304	Wedge, Plate 8 x 3 Right	80	288	Dark Green	Solid Colors	2	2.5
50304	4258273	50304	Wedge, Plate 8 x 3 Right	86	71	Light Bluish Gray	Solid Colors	2	2.5
50305	4258275	50305	Wedge, Plate 8 x 3 Left	86	71	Light Bluish Gray	Solid Colors	2	2.5
50305	6168592	50305	Wedge, Plate 8 x 3 Left	80	288	Dark Green	Solid Colors	2	2.5
50950	4251161	50950	Slope, Curved 3 x 1 No Studs	11	0	Black	Solid Colors	2	0.75
50950	4267850	50950	Slope, Curved 3 x 1 No Studs	80	288	Dark Green	Solid Colors	2	0.75
54200	4521921	54200	Slope 30 1 x 1 x 2/3	86	71	Light Bluish Gray	Solid Colors	2	0.21
54383	4290150	54383	Wedge, Plate 6 x 3 Right	85	72	Dark Bluish Gray	Solid Colors	1	1.5
54384	4290149	54384	Wedge, Plate 6 x 3 Left	85	72	Dark Bluish Gray	Solid Colors	1	1.5
4589b	4529236	4589b	Cone 1 x 1 with Top Groove	11	0	Black	Solid Colors	2	0.25
6005	4625619	6005	Brick, Arch 1 x 3 x 2 Curved Top	86	71	Light Bluish Gray	Solid Colors	6	1.0
60219	4549999	60219	Slope, Inverted 45 6 x 4 Double with 4 x 4 Cutout and 3 Holes	85	72	Dark Bluish Gray	Solid Colors	1	4.2
60470b	4556158	60470b	Plate, Modified 1 x 2 with Clips Horizontal (thick open O clips)	11	0	Black	Solid Colors	2	0.55
60478	4515368	60478	Plate, Modified 1 x 2 with Handle on End - Closed Ends	11	0	Black	Solid Colors	2	0.55
4073	6240221	4073	Plate, Round 1 x 1 Straight Side	20	34	Trans-Green	Transparent Colors	2	0.12
63864	4558169	63864	Tile 1 x 3	86	71	Light Bluish Gray	Solid Colors	2	0.39
63965	6170421	63965	Bar   6L with Stop Ring	11	0	Black	Solid Colors	2	0.44
6553	4210665	6553	Technic Pole Reverser Handle	85	72	Dark Bluish Gray	Solid Colors	2	0.42
6558	4514553	6558	Technic, Pin 3L with Friction Ridges Lengthwise	7	1	Blue	Solid Colors	2	0.31
85984	4548180	85984	Slope 30 1 x 2 x 2/3	11	0	Black	Solid Colors	1	0.34
85984	4568637	85984	Slope 30 1 x 2 x 2/3	86	71	Light Bluish Gray	Solid Colors	1	0.34
87580	4565387	87580	Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)	2	19	Tan	Solid Colors	1	0.5
92280	4598526	92280	Plate, Modified 1 x 2 with Clip on Top	86	71	Light Bluish Gray	Solid Colors	4	0.4
93273	4622803	93273	Slope, Curved 4 x 1 Double No Studs	86	71	Light Bluish Gray	Solid Colors	2	0.6
93606	6005668	93606	Slope, Curved 4 x 2 No Studs	85	72	Dark Bluish Gray	Solid Colors	2	1.4
99207	6001806	99207	Bracket 1 x 2 - 2 x 2 Inverted	5	4	Red	Solid Colors	1	0.8
99780	6004990	99780	Bracket 1 x 2 - 1 x 2 Inverted	86	71	Light Bluish Gray	Solid Colors	1	0.55
99781	6016172	99781	Bracket 1 x 2 - 1 x 2	11	0	Black	Solid Colors	5	0.55
									
Total qty	Total Weight								
226	162.96 +a								
